titleId,title,averageRating,numVotes,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,captured
tt0107401,The Liars' Club,5.6,386.0,The Liars' Club,The Liars' Club,0.0,1993,95,"Drama,Thriller",0
tt0107402,Libera,6.8,78.0,Libera,Libera,0.0,1993,83,Comedy,0
tt0107403,Libera me,7.0,109.0,Libera me,Libera me,0.0,1993,75,Drama,0
tt0107404,Lichnaya zhizn korolevy,3.5,23.0,Lichnaya zhizn korolevy,Lichnaya zhizn korolevy,0.0,1993,74,Comedy,0
tt0107405,Lip pau hang tung,5.7,98.0,Revenge of the Cheetah,Lip pau hang tung,0.0,1992,84,Action,0
tt0107413,Life with Mikey,5.5,4922.0,Life with Mikey,Life with Mikey,0.0,1993,91,"Comedy,Family",0
tt0107416,Lightning in a Bottle,6.2,39.0,Lightning in a Bottle,Lightning in a Bottle,0.0,1993,109,Drama,0
tt0107417,Dead Connection,4.8,479.0,Dead Connection,Dead Connection,0.0,1994,93,"Crime,Drama,Thriller",0
tt0107419,Lillian,8.4,32.0,Lillian,Lillian,0.0,1993,82,Biography,0
tt0107426,Little Buddha,6.1,14056.0,Little Buddha,Little Buddha,0.0,1993,123,Drama,0
tt0107427,Little Miss Millions,5.2,295.0,Little Miss Millions,Little Miss Millions,0.0,1993,90,"Comedy,Family",0
tt0107428,Liu zhi qin mo,6.4,375.0,Deadly Melody,Liu zhi qin mo,0.0,1994,91,"Adventure,Fantasy",0
tt0107430,Live by the Fist,4.4,114.0,Live by the Fist,Live by the Fist,0.0,1993,77,"Action,Crime,Drama",0
tt0107434,Loin des barbares,6.1,17.0,Loin des barbares,Loin des barbares,0.0,1994,93,Drama,0
tt0107437,Long kua si hai zhi zhi ming qing ren,6.1,17.0,Long kua si hai zhi zhi ming qing ren,Long kua si hai zhi zhi ming qing ren,0.0,1993,\N,"Action,Drama",0
tt0107438,Look Who's Talking Now,4.3,25173.0,Look Who's Talking Now,Look Who's Talking Now,0.0,1993,96,"Comedy,Family,Romance",0
tt0107443,Lost in Yonkers,6.7,2384.0,Lost in Yonkers,Lost in Yonkers,0.0,1993,114,"Comedy,Drama",0
tt0107444,Lotta 2 - Lotta flyttar hemifrån,5.8,618.0,Lotta 2 - Lotta flyttar hemifrån,Lotta 2 - Lotta flyttar hemifrån,0.0,1993,83,"Comedy,Family",0
tt0107445,The Lotus Eaters,6.6,181.0,The Lotus Eaters,The Lotus Eaters,0.0,1993,101,Drama,0
tt0107446,"Louis, enfant roi",6.6,222.0,"Louis, enfant roi","Louis, enfant roi",0.0,1993,160,"Biography,Drama,History",0
tt0107447,Love & Human Remains,6.7,2320.0,Love & Human Remains,Love & Human Remains,0.0,1993,100,"Comedy,Drama",0
tt0107448,Love Bites,5.9,459.0,Love Bites,Love Bites,0.0,1993,98,"Comedy,Horror,Romance",0
tt0107450,Love in Limbo,5.5,283.0,Love in Limbo,Love in Limbo,0.0,1993,95,Comedy,0
tt0107451,"Love, Cheat & Steal",5.1,756.0,"Love, Cheat & Steal","Love, Cheat & Steal",0.0,1993,96,Thriller,0
tt0107454,Lowca,4.1,30.0,Lowca,Lowca,0.0,1994,87,"Family,Fantasy",0
tt0107455,"Luck, Trust & Ketchup: Robert Altman in Carver Country",6.7,146.0,"Luck, Trust & Ketchup: Robert Altman in Carver Country","Luck, Trust & Ketchup: Robert Altman in Carver Country",0.0,1993,90,Documentary,0
tt0107457,Ludwig 1881,7.5,46.0,Ludwig 1881,Ludwig 1881,0.0,1993,90,"Biography,Drama",0
tt0107459,Lumière noire,5.8,16.0,Lumière noire,Lumière noire,0.0,1994,104,Thriller,0
tt0107460,Lun Wen-Xu lao dian Liu Xian-Kai,5.9,117.0,Lun Wen-Xu lao dian Liu Xian-Kai,Lun Wen-Xu lao dian Liu Xian-Kai,0.0,1994,94,"Action,Comedy",0
tt0107461,Long min,7.6,162.0,Cageman,Long min,0.0,1992,145,Drama,0
tt0107462,Il lungo silenzio,6.8,87.0,Il lungo silenzio,Il lungo silenzio,0.0,1993,98,Drama,0
tt0107467,Lyubov po zakazu,5.4,10.0,Lyubov po zakazu,Lyubov po zakazu,0.0,1993,84,Drama,0
tt0107468,M. Butterfly,6.8,7723.0,M. Butterfly,M. Butterfly,0.0,1993,101,"Drama,Romance",0
tt0107471,Ma saison préférée,7.2,1728.0,My Favorite Season,Ma saison préférée,0.0,1993,127,"Drama,Romance",0
tt0107472,Die Macht der Bilder: Leni Riefenstahl,8.0,1377.0,"The Wonderful, Horrible Life of Leni Riefenstahl",Die Macht der Bilder: Leni Riefenstahl,0.0,1993,183,"Biography,Documentary,History",0
tt0107473,Mad Dog and Glory,6.2,18922.0,Mad Dog and Glory,Mad Dog and Glory,0.0,1993,97,"Comedy,Crime,Drama",0
tt0107474,Maadadayo,7.4,4350.0,Maadadayo,Maadadayo,0.0,1993,134,Drama,0
tt0107476,Madame L'Eau,7.1,16.0,Madame L'Eau,Madame L'Eau,0.0,1993,120,\N,0
tt0107478,Made in America,5.0,14444.0,Made in America,Made in America,0.0,1993,111,Comedy,0
tt0107479,La madre muerta,7.2,902.0,La madre muerta,La madre muerta,0.0,1993,105,"Drama,Thriller",0
tt0107480,Madregilda,6.6,140.0,Madregilda,Madregilda,0.0,1993,113,Drama,0
tt0107481,Mafiya bessmertna,4.7,29.0,Mafiya bessmertna,Mafiya bessmertna,0.0,1993,93,"Action,Crime",0
tt0107484,Jiang xie shen jian,5.9,20.0,Magic Sword,Jiang xie shen jian,0.0,1993,\N,"Action,Adventure",0
tt0107486,A magzat,6.8,28.0,A magzat,A magzat,0.0,1994,102,Drama,0
tt0107489,Mairi Mhor,7.8,6.0,Mairi Mhor,Mairi Mhor,0.0,1994,63,Drama,0
tt0107490,Makarov,6.9,138.0,Makarov,Makarov,0.0,1994,99,"Drama,Thriller",0
tt0107492,The Making of '...And God Spoke',6.7,807.0,The Making of '...And God Spoke',The Making of '...And God Spoke',0.0,1993,82,Comedy,0
