id;title;original_title;year;age_rating;duration;genres;imdb_rating;number_votes;direction;metacritic_score;metacritic_votes;metacritic_critics;metacritic_popularity
tt0015724,Dama de noche,None,1993,1h 42min,"Drama, Mystery, Romance",18 March 1993 (Mexico),"6,2",20,Director: Eva López Sánchez,,,,
tt0053295,Sonnensucher,None,1972,Unknown,1h 56min,Drama,"6,5",113,Director: Konrad Wolf,,,,
tt0054724,Zombie,None,1971,Unknown,1h 32min,Horror,"3,2",1.080,Director: Del Tenney,,,,
tt0057461,La rosa de los vientos,None,1983,Unknown,1h 24min,29 August 1986 (East Germany),"4,6",12,Director: Patricio Guzmán,,,,
tt0058950,Biya el-Khawatim,None,1973,1h 35min,"Comedy, Musical",20 December 1973 (France),"7,0",111,Director: Youssef Chahine,,,,
